Date,Open,High,Low,Close,Adj Close,Volume
2000-05-31,18.545469,19.312462,18.466803,19.017464,12.337512,4507675
2000-06-01,18.565134,19.469791,18.270138,19.410793,12.592688,5209695
2000-06-02,19.764790,20.413782,19.705790,19.863121,12.886133,4972617
2000-06-05,19.233795,19.371460,18.801132,19.115795,12.401306,3889554
2000-06-06,19.115795,19.489458,18.919132,19.371460,12.567168,2998443
2000-06-07,19.391127,19.587791,18.840466,18.879799,12.248206,3076622
2000-06-08,18.250471,18.329138,17.621145,17.916142,11.623033,11416329
2000-06-09,18.093140,18.663467,18.053806,18.466803,11.980268,6127184
2000-06-12,18.486469,18.604467,18.329138,18.338970,11.897343,2804267
2000-06-13,18.486469,18.506136,17.935808,17.994808,11.674068,4267418
2000-06-14,18.250471,18.958464,18.250471,18.801132,12.197169,5128021
2000-06-15,18.820799,19.430458,18.545469,18.761801,12.171653,3457028
2000-06-16,18.604467,18.958464,18.309471,18.525803,12.018551,5740739
2000-06-19,18.643801,18.663467,17.719479,18.053806,11.712343,6803780
2000-06-20,17.935808,17.975142,17.345816,17.503147,11.355109,8663546
2000-06-21,17.975142,18.073475,17.424480,17.896477,11.610276,4428543
2000-06-22,18.250471,18.250471,17.503147,17.778477,11.533724,4195278
2000-06-23,17.778477,18.014475,17.562145,17.955475,11.648551,2465810
2000-06-26,18.171806,18.250471,17.778477,17.955475,11.648551,2383500
2000-06-27,17.935808,18.289804,17.719479,17.778477,11.533724,4823568
2000-06-28,17.778477,18.152140,17.680145,17.852226,11.581569,4080870
2000-06-29,17.640812,17.660479,17.050817,17.149151,11.125452,5517644
2000-06-30,17.286816,18.560219,16.991819,18.525803,12.018551,8059726
2000-07-03,18.093140,18.112806,17.424480,17.837477,11.572001,2695897
2000-07-05,18.407804,18.624134,18.132473,18.486469,11.993030,4492739
2000-07-06,18.486469,18.604467,18.132473,18.152140,11.776136,3962330
2000-07-07,18.230806,18.545469,18.171806,18.486469,11.993030,4541680
2000-07-10,18.506136,18.742132,18.329138,18.663467,12.107854,4699944
2000-07-11,18.683134,18.899466,18.427469,18.879799,12.248206,5405460
2000-07-12,18.624134,18.997797,18.329138,18.958464,12.299239,6174854
2000-07-13,18.958464,19.155128,18.840466,19.037130,12.350271,5045393
2000-07-14,19.194462,19.430458,18.997797,19.233795,12.477850,2694626
2000-07-17,19.155128,19.174795,18.958464,19.046963,12.356650,2327567
2000-07-18,18.958464,18.958464,18.368471,18.565134,12.044065,3181496
2000-07-19,18.879799,19.017464,18.014475,18.093140,11.737863,6564477
2000-07-20,18.093140,18.250471,17.896477,18.053806,11.712343,6670940
2000-07-21,18.053806,18.565134,18.053806,18.486469,11.993030,5604721
2000-07-24,18.447138,18.722467,18.368471,18.584803,12.056831,2675876
2000-07-25,18.565134,18.879799,18.289804,18.329138,11.890966,3711904
2000-07-26,18.407804,18.407804,17.916142,18.053806,11.712343,4762869
2000-07-27,18.093140,18.289804,17.719479,18.093140,11.737863,4938294
2000-07-28,18.093140,18.171806,17.719479,18.073475,11.725103,3164335
2000-07-31,18.250471,18.801132,18.230806,18.368471,11.916481,2525557
2000-08-01,18.604467,18.722467,18.447138,18.643801,12.095101,4869967
2000-08-02,18.604467,18.683134,18.270138,18.309471,11.878206,2790602
2000-08-03,18.309471,18.368471,17.876808,17.975142,11.661309,3971864
2000-08-04,18.112806,18.584803,17.935808,18.565134,12.044065,5454719
2000-08-07,18.722467,19.194462,18.447138,19.194462,12.452338,4671342
2000-08-08,19.174795,19.351793,18.879799,19.273129,12.503376,4082141
2000-08-09,19.430458,19.430458,18.997797,19.155128,12.426817,3856185
2000-08-10,19.233795,19.587791,19.155128,19.233795,12.477850,4483522
2000-08-11,19.292793,19.292793,18.938799,19.115795,12.401306,3590822
2000-08-14,18.958464,19.194462,18.919132,19.174795,12.439582,2162947
2000-08-15,19.194462,19.273129,18.801132,18.899466,12.260962,3820274
2000-08-16,19.194462,19.233795,18.938799,19.076464,12.375785,2483289
2000-08-17,19.155128,19.784456,18.958464,19.666456,12.758545,5713726
2000-08-18,19.804123,19.804123,19.351793,19.351793,12.554411,2451191
2000-08-21,19.548458,20.059786,19.509125,19.981119,12.962681,4603969
2000-08-22,20.059786,20.217117,19.686123,20.059786,13.013715,4831831
2000-08-23,19.981119,20.256451,19.627125,20.167952,13.125067,5125161
2000-08-24,20.177786,20.453115,19.705790,19.902454,12.952285,4846768
2000-08-25,20.020452,20.118786,19.686123,19.902454,12.952285,2663482
2000-08-28,19.882788,20.138453,19.666456,20.079453,13.067465,3427791
2000-08-29,20.000788,20.000788,19.627125,19.686123,12.811499,2841768
2000-08-30,19.666456,19.666456,19.037130,19.194462,12.491529,3267937
2000-08-31,19.194462,19.705790,19.174795,19.646790,12.785894,4003327
2000-09-01,19.725456,19.745123,19.371460,19.509125,12.696307,2256380
2000-09-05,19.233795,19.509125,19.194462,19.273129,12.542726,2836047
2000-09-06,19.253462,20.177786,19.233795,20.079453,13.067465,6319771
2000-09-07,20.413782,20.630114,19.863121,19.981119,13.003477,7694256
2000-09-08,19.941788,19.941788,19.155128,19.469791,12.670707,5216369
2000-09-11,19.469791,19.922121,19.430458,19.784456,12.875493,4664668
2000-09-12,19.548458,19.823790,19.332127,19.784456,12.875493,4704393
2000-09-13,19.804123,19.902454,19.627125,19.804123,12.888288,5041579
2000-09-14,20.138453,20.256451,20.079453,20.138453,13.105870,8179854
2000-09-15,20.453115,21.180775,20.040119,20.118786,13.093070,16632063
2000-09-18,20.295784,20.453115,19.863121,20.256451,13.182659,7687900
2000-09-19,20.413782,20.413782,19.371460,19.705790,12.824292,9907415
2000-09-20,19.823790,20.099119,18.565134,19.981119,13.003477,16404518
2000-09-21,19.351793,19.843454,19.273129,19.587791,12.747507,7242344
2000-09-22,19.745123,20.689114,19.253462,20.610447,13.413035,12751407
2000-09-25,20.767778,21.397104,20.728445,21.003777,13.669014,8637804
2000-09-26,21.121775,21.475771,20.964443,21.121775,13.745800,5933008
2000-09-27,21.180775,22.026432,20.984110,21.652769,14.091367,9919491
2000-09-28,21.869101,22.931089,21.711767,22.498426,14.641712,10719712
2000-09-29,22.341095,22.537760,21.593769,21.829767,14.206552,5851651
